timestamp,CPS,CPM,uSv/h,mR/h
2025-09-12 14:17:09,0.450,27.00,0.176,0.018
2025-09-12 14:18:09,0.783,47.00,0.306,0.031
2025-09-12 14:19:09,0.350,21.00,0.137,0.014
2025-09-12 14:20:09,0.333,20.00,0.130,0.013
2025-09-12 14:21:09,0.567,34.00,0.221,0.022
2025-09-12 14:22:09,0.500,30.00,0.195,0.020
2025-09-12 14:23:09,0.817,49.00,0.319,0.032
2025-09-12 14:24:09,0.483,29.00,0.189,0.019
2025-09-12 14:25:09,0.350,21.00,0.137,0.014
2025-09-12 14:26:09,0.667,40.00,0.260,0.026
2025-09-12 14:27:09,0.617,37.00,0.241,0.024
2025-09-12 14:28:09,0.517,31.00,0.202,0.020
2025-09-12 14:29:09,0.700,42.00,0.273,0.027
2025-09-12 14:30:09,0.717,43.00,0.280,0.028
2025-09-12 14:31:09,0.533,32.00,0.208,0.021
2025-09-12 14:32:09,0.583,35.00,0.228,0.023
2025-09-12 14:33:08,0.467,28.00,0.182,0.018
2025-09-12 14:34:08,0.500,30.00,0.195,0.020
