timestamp,CPS,CPM,uSv/h,mR/h
2025-09-12 13:53:41,19.100,1146.00,7.451,0.745
2025-09-12 13:54:41,20.483,1229.00,7.991,0.799
2025-09-12 13:55:41,20.733,1244.00,8.088,0.809
2025-09-12 13:56:41,20.067,1204.00,7.828,0.783
2025-09-12 13:57:41,20.267,1216.00,7.906,0.791
2025-09-12 13:58:41,19.833,1190.00,7.737,0.774
2025-09-12 13:59:41,19.817,1189.00,7.731,0.773
2025-09-12 14:00:41,20.033,1202.00,7.815,0.782
2025-09-12 14:01:42,20.267,1216.00,7.906,0.791
2025-09-12 14:02:42,19.417,1165.00,7.575,0.757
2025-09-12 14:03:42,20.150,1209.00,7.861,0.786
2025-09-12 14:04:42,20.200,1212.00,7.880,0.788
2025-09-12 14:05:42,19.533,1172.00,7.620,0.762
2025-09-12 14:06:42,19.800,1188.00,7.724,0.772
2025-09-12 14:07:42,20.050,1203.00,7.822,0.782
2025-09-12 14:08:42,20.850,1251.00,8.134,0.813
2025-09-12 14:09:42,20.100,1206.00,7.841,0.784
2025-09-12 14:10:42,20.350,1221.00,7.939,0.794
2025-09-12 14:11:42,19.683,1181.00,7.679,0.768
2025-09-12 14:12:42,19.900,1194.00,7.763,0.776
2025-09-12 14:13:42,20.083,1205.00,7.835,0.783
2025-09-12 14:14:42,19.717,1183.00,7.692,0.769
2025-09-12 14:15:42,20.083,1205.00,7.835,0.783
