timestamp,CPS,CPM,uSv/h,mR/h
2025-09-12 13:34:32,2.850,171.00,1.112,0.111
2025-09-12 13:35:32,2.733,164.00,1.066,0.107
2025-09-12 13:36:32,2.817,169.00,1.099,0.110
2025-09-12 13:37:32,2.833,170.00,1.105,0.111
2025-09-12 13:38:32,2.617,157.00,1.021,0.102
2025-09-12 13:39:32,2.450,147.00,0.956,0.096
2025-09-12 13:40:31,2.633,158.00,1.027,0.103
2025-09-12 13:41:31,2.867,172.00,1.118,0.112
2025-09-12 13:42:31,2.733,164.00,1.066,0.107
2025-09-12 13:43:31,2.433,146.00,0.949,0.095
2025-09-12 13:44:31,3.183,191.00,1.242,0.124
2025-09-12 13:45:31,2.350,141.00,0.917,0.092
2025-09-12 13:46:31,2.650,159.00,1.034,0.103
2025-09-12 13:47:31,2.433,146.00,0.949,0.095
2025-09-12 13:48:31,2.450,147.00,0.956,0.096
2025-09-12 13:49:31,2.550,153.00,0.995,0.099
2025-09-12 13:50:31,2.817,169.00,1.099,0.110
