timestamp,CPS,CPM,uSv/h,mR/h
2025-10-21 18:43:45,0.650,39.00,0.254,0.025
2025-10-21 18:44:45,0.933,56.00,0.364,0.036
2025-10-21 18:45:45,0.800,48.00,0.312,0.031
2025-10-21 18:46:45,0.717,43.00,0.280,0.028
2025-10-21 18:47:45,0.683,41.00,0.267,0.027
2025-10-21 18:48:45,0.983,59.00,0.384,0.038
2025-10-21 18:49:45,0.633,38.00,0.247,0.025
2025-10-21 18:50:45,0.683,41.00,0.267,0.027
2025-10-21 18:51:45,0.783,47.00,0.306,0.031
2025-10-21 18:52:45,0.667,40.00,0.260,0.026
2025-10-21 18:53:45,0.650,39.00,0.254,0.025
2025-10-21 18:54:45,0.717,43.00,0.280,0.028
2025-10-21 18:55:45,0.583,35.00,0.228,0.023
2025-10-21 18:56:45,0.600,36.00,0.234,0.023
2025-10-21 18:57:45,0.600,36.00,0.234,0.023
2025-10-21 18:58:45,0.650,39.00,0.254,0.025
2025-10-21 18:59:45,0.733,44.00,0.286,0.029
2025-10-21 19:00:45,0.667,40.00,0.260,0.026
2025-10-21 19:01:45,0.850,51.00,0.332,0.033
2025-10-21 19:02:45,0.733,44.00,0.286,0.029
