timestamp,CPS,CPM,uSv/h,mR/h
2025-10-21 19:33:56,0.983,59.00,0.384,0.038
2025-10-21 19:34:56,0.850,51.00,0.332,0.033
2025-10-21 19:35:56,1.117,67.00,0.436,0.044
2025-10-21 19:36:56,1.000,60.00,0.390,0.039
2025-10-21 19:37:56,0.933,56.00,0.364,0.036
2025-10-21 19:38:55,0.983,59.00,0.384,0.038
2025-10-21 19:39:55,0.967,58.00,0.377,0.038
2025-10-21 19:40:55,0.900,54.00,0.351,0.035
2025-10-21 19:41:55,1.000,60.00,0.390,0.039
2025-10-21 19:42:55,0.700,42.00,0.273,0.027
2025-10-21 19:43:55,1.100,66.00,0.429,0.043
2025-10-21 19:44:55,0.583,35.00,0.228,0.023
2025-10-21 19:45:55,1.117,67.00,0.436,0.044
2025-10-21 19:46:55,0.967,58.00,0.377,0.038
2025-10-21 19:47:55,1.167,70.00,0.455,0.046
2025-10-21 19:48:55,0.817,49.00,0.319,0.032
2025-10-21 19:49:55,0.800,48.00,0.312,0.031
2025-10-21 19:50:55,0.633,38.00,0.247,0.025
2025-10-21 19:51:55,0.833,50.00,0.325,0.033
2025-10-21 19:52:55,0.833,50.00,0.325,0.033
2025-10-21 19:53:55,1.133,68.00,0.442,0.044
2025-10-21 19:54:55,0.867,52.00,0.338,0.034
2025-10-21 19:55:55,0.717,43.00,0.280,0.028
2025-10-21 19:56:55,0.900,54.00,0.351,0.035
